order_id,tanggal_transaksi,region,sektor_industri,kategori_produk,kuantitas,harga_satuan_idr,total_nilai_deal_idr,status_transaksi,revenue_idr
trx-20507,2/11/2022,kalimantan,logistik & gudang,forklift,1,256930170,256930170,lost (gagal),0
trx-21017,3/10/2023,jawa,konstruksi,excavator,1,2888525654,2888525654,won (berhasil),2888525654
trx-21091,7/14/2022,sumatera,logistik & gudang,excavator,2,2242200804,4484401608,in progress,0
trx-20063,4/22/2023,papua,konstruksi,tractor agrikultur,1,1279185637,1279185637,won (berhasil),1279185637
trx-20944,8/19/2022,jawa,logistik & gudang,genset (generator set),5,406547045,2032735225,won (berhasil),2032735225
trx-22375,11/4/2023,sumatera,perkebunan,forklift,4,480535064,1922140256,won (berhasil),1922140256
trx-20044,7/14/2023,jawa,perkebunan,tractor agrikultur,4,843945258,3375781032,won (berhasil),3375781032
trx-22707,4/4/2021,sulawesi,logistik & gudang,forklift,2,423015877,846031754,in progress,0
trx-21510,5/31/2023,kalimantan,konstruksi,forklift,2,519694465,1039388930,in progress,0
trx-20254,10/31/2021,sumatera,pertambangan,excavator,2,2146382707,4292765414,lost (gagal),0
trx-20321,5/20/2023,sulawesi,manufaktur,excavator,1,1947128306,1947128306,lost (gagal),0
trx-22804,3/13/2022,unknown,manufaktur,genset (generator set),5,283144906,1415724530,won (berhasil),1415724530
trx-22937,5/3/2021,papua,pertambangan,tractor agrikultur,3,1416627460,4249882380,won (berhasil),4249882380
trx-20705,10/7/2022,sumatera,perkebunan,excavator,2,1767226531,3534453062,won (berhasil),3534453062
trx-22270,9/15/2021,sulawesi,logistik & gudang,excavator,1,1740278867,1740278867,in progress,0
trx-22124,5/14/2021,sumatera,perkebunan,forklift,5,273502007,1367510035,in progress,0
trx-22861,10/27/2021,sumatera,konstruksi,excavator,2,2997242835,5994485670,won (berhasil),5994485670
trx-22589,4/14/2023,sulawesi,pertambangan,genset (generator set),5,463869275,2319346375,won (berhasil),2319346375
trx-20472,5/8/2022,papua,konstruksi,excavator,2,1876739863,3753479726,won (berhasil),3753479726
trx-21451,1/9/2023,papua,pertambangan,genset (generator set),2,473527665,947055330,won (berhasil),947055330
trx-20139,5/21/2021,sumatera,perkebunan,forklift,3,497713442,1493140326,won (berhasil),1493140326
trx-22574,11/19/2021,kalimantan,manufaktur,forklift,3,384341073,1153023219,won (berhasil),1153023219
trx-20581,12/3/2023,papua,pertambangan,forklift,2,402489559,804979118,in progress,0
trx-22605,1/31/2021,sulawesi,manufaktur,forklift,1,419775246,419775246,lost (gagal),0
trx-20809,1/28/2022,sulawesi,konstruksi,forklift,3,410850139,1232550417,won (berhasil),1232550417
trx-22591,7/19/2023,sulawesi,manufaktur,genset (generator set),1,317168954,317168954,won (berhasil),317168954
trx-21822,10/24/2022,sumatera,perkebunan,genset (generator set),2,381698791,763397582,won (berhasil),763397582
trx-21475,2/14/2021,sulawesi,konstruksi,tractor agrikultur,4,1008124889,4032499556,in progress,0
trx-21891,10/10/2023,sumatera,perkebunan,excavator,2,1710358969,3420717938,lost (gagal),0
trx-21427,1/18/2023,papua,perkebunan,tractor agrikultur,1,941511050,941511050,in progress,0
trx-22585,8/16/2023,papua,logistik & gudang,genset (generator set),3,140003929,420011787,lost (gagal),0
trx-20134,9/4/2021,kalimantan,konstruksi,tractor agrikultur,4,1370533634,5482134536,lost (gagal),0
trx-20741,10/17/2022,sumatera,pertambangan,tractor agrikultur,5,1212410064,6062050320,won (berhasil),6062050320
trx-20964,12/26/2023,unknown,pertambangan,tractor agrikultur,3,839287222,2517861666,won (berhasil),2517861666
trx-20149,3/2/2021,sulawesi,perkebunan,forklift,1,397078628,397078628,won (berhasil),397078628
trx-20240,3/12/2021,papua,pertambangan,genset (generator set),4,152823036,611292144,won (berhasil),611292144
trx-21766,7/18/2021,sulawesi,logistik & gudang,forklift,1,571522740,571522740,won (berhasil),571522740
trx-21896,8/15/2022,papua,konstruksi,forklift,4,293371530,1173486120,won (berhasil),1173486120
trx-22321,7/22/2022,sulawesi,manufaktur,excavator,2,1634947681,3269895362,won (berhasil),3269895362
trx-20174,1/28/2021,jawa,logistik & gudang,genset (generator set),2,443615820,887231640,lost (gagal),0
trx-20052,3/29/2021,papua,manufaktur,excavator,2,2527037549,5054075098,won (berhasil),5054075098
trx-21146,9/27/2021,sumatera,logistik & gudang,tractor agrikultur,1,1272992945,1272992945,won (berhasil),1272992945
trx-20144,7/2/2022,kalimantan,manufaktur,genset (generator set),3,482965634,1448896902,won (berhasil),1448896902
trx-20246,5/21/2022,sulawesi,perkebunan,excavator,1,1760769162,1760769162,won (berhasil),1760769162
trx-21971,1/24/2021,kalimantan,manufaktur,tractor agrikultur,1,1473075451,1473075451,in progress,0
trx-22484,7/31/2022,sulawesi,konstruksi,excavator,2,2145404843,4290809686,lost (gagal),0
trx-21620,1/18/2022,sulawesi,pertambangan,tractor agrikultur,5,1200794281,6003971405,won (berhasil),6003971405
trx-20557,12/15/2023,sulawesi,manufaktur,genset (generator set),5,136415255,682076275,won (berhasil),682076275
trx-20251,11/19/2021,sumatera,konstruksi,excavator,1,2186858135,2186858135,lost (gagal),0
trx-21116,5/28/2021,kalimantan,pertambangan,forklift,3,226094581,678283743,lost (gagal),0
trx-21877,4/5/2021,kalimantan,konstruksi,genset (generator set),2,313056307,626112614,won (berhasil),626112614
trx-20211,11/28/2022,sulawesi,manufaktur,excavator,1,1608971890,1608971890,won (berhasil),1608971890
trx-20000,10/11/2021,sumatera,pertambangan,forklift,5,273433487,1367167435,won (berhasil),1367167435
trx-21476,10/16/2023,papua,lainnya,genset (generator set),3,239310412,717931236,in progress,0
trx-21553,2/19/2021,kalimantan,konstruksi,genset (generator set),5,402693373,2013466865,lost (gagal),0
trx-21295,8/2/2021,kalimantan,pertambangan,tractor agrikultur,5,1412826536,7064132680,lost (gagal),0
trx-20565,7/8/2023,sulawesi,manufaktur,excavator,3,1285451495,3856354485,won (berhasil),3856354485
trx-21234,3/24/2023,sulawesi,manufaktur,genset (generator set),5,171176431,855882155,in progress,0
trx-21624,9/25/2021,papua,pertambangan,tractor agrikultur,3,1327539562,3982618686,in progress,0
trx-22914,2/19/2023,jawa,pertambangan,forklift,3,296159488,888478464,won (berhasil),888478464
trx-20789,7/17/2021,sumatera,perkebunan,forklift,3,460840526,1382521578,won (berhasil),1382521578
trx-20812,5/13/2023,sumatera,pertambangan,tractor agrikultur,3,1178195503,3534586509,won (berhasil),3534586509
trx-20266,12/25/2021,sumatera,manufaktur,excavator,2,1987450412,3974900824,won (berhasil),3974900824
trx-22797,11/17/2023,jawa,pertambangan,genset (generator set),2,445471473,890942946,won (berhasil),890942946
trx-20322,11/25/2022,sulawesi,konstruksi,excavator,1,2511816241,2511816241,won (berhasil),2511816241
trx-20032,8/4/2023,sumatera,logistik & gudang,genset (generator set),5,342132539,1710662695,lost (gagal),0
trx-20370,6/5/2023,sumatera,logistik & gudang,tractor agrikultur,1,1176933795,1176933795,won (berhasil),1176933795
trx-22463,3/6/2021,kalimantan,pertambangan,genset (generator set),4,390880611,1563522444,lost (gagal),0
trx-20014,6/5/2022,sulawesi,perkebunan,tractor agrikultur,2,1229385656,2458771312,won (berhasil),2458771312
trx-20093,12/30/2023,sumatera,konstruksi,tractor agrikultur,3,896043518,2688130554,in progress,0
trx-22757,4/13/2021,sumatera,perkebunan,tractor agrikultur,3,1495964571,4487893713,won (berhasil),4487893713
trx-20879,9/15/2023,sulawesi,konstruksi,genset (generator set),1,281815120,281815120,lost (gagal),0
trx-20642,4/6/2022,sumatera,perkebunan,excavator,2,2088066793,4176133586,in progress,0
trx-22097,5/3/2022,jawa,logistik & gudang,forklift,2,313819183,627638366,in progress,0
trx-21602,2/17/2023,sumatera,perkebunan,genset (generator set),1,151389384,151389384,lost (gagal),0
trx-21106,7/17/2023,papua,manufaktur,forklift,3,365513386,1096540158,lost (gagal),0
trx-20756,1/21/2022,jawa,logistik & gudang,excavator,2,2506354147,5012708294,lost (gagal),0
trx-21075,1/12/2022,kalimantan,pertambangan,tractor agrikultur,1,1074565106,1074565106,won (berhasil),1074565106
trx-20430,11/2/2022,kalimantan,konstruksi,genset (generator set),2,242876295,485752590,won (berhasil),485752590
trx-20450,9/18/2022,jawa,konstruksi,forklift,5,495291840,2476459200,lost (gagal),0
trx-22002,5/25/2021,sumatera,pertambangan,genset (generator set),2,286209505,572419010,won (berhasil),572419010
trx-21837,12/15/2022,sumatera,perkebunan,tractor agrikultur,1,948031617,948031617,won (berhasil),948031617
trx-21688,5/3/2023,papua,logistik & gudang,genset (generator set),1,162605564,162605564,won (berhasil),162605564
trx-20691,8/27/2022,kalimantan,konstruksi,tractor agrikultur,3,1170605746,3511817238,won (berhasil),3511817238
trx-22637,12/21/2021,sulawesi,manufaktur,excavator,1,2048654572,2048654572,lost (gagal),0
trx-21849,5/25/2021,kalimantan,pertambangan,tractor agrikultur,3,884558827,2653676481,in progress,0
trx-21429,9/13/2021,papua,perkebunan,genset (generator set),3,470207447,1410622341,won (berhasil),1410622341
trx-20759,12/23/2022,jawa,konstruksi,tractor agrikultur,2,962153712,1924307424,won (berhasil),1924307424
trx-20184,7/6/2021,papua,pertambangan,excavator,2,2066383380,4132766760,lost (gagal),0
trx-21235,9/27/2021,sumatera,pertambangan,genset (generator set),4,244073942,976295768,won (berhasil),976295768
trx-20203,9/20/2023,kalimantan,konstruksi,tractor agrikultur,1,1210196506,1210196506,won (berhasil),1210196506
trx-20801,6/18/2023,papua,logistik & gudang,tractor agrikultur,2,1079757428,2159514856,in progress,0
trx-20463,3/18/2021,jawa,pertambangan,excavator,1,1658810088,1658810088,won (berhasil),1658810088
trx-21423,12/26/2021,sumatera,perkebunan,genset (generator set),2,422002430,844004860,lost (gagal),0
trx-21177,9/9/2022,sulawesi,konstruksi,forklift,2,444244947,888489894,won (berhasil),888489894
trx-22414,3/12/2022,unknown,pertambangan,genset (generator set),5,369851777,1849258885,won (berhasil),1849258885
trx-20839,12/10/2022,sulawesi,manufaktur,forklift,3,270945155,812835465,won (berhasil),812835465
trx-21395,6/11/2021,papua,pertambangan,forklift,1,425390700,425390700,won (berhasil),425390700
trx-22554,7/20/2021,unknown,manufaktur,forklift,4,426968442,1707873768,won (berhasil),1707873768
trx-22869,4/11/2023,papua,pertambangan,tractor agrikultur,4,1337975637,5351902548,won (berhasil),5351902548
trx-21913,5/30/2021,sumatera,perkebunan,excavator,4,874688978,3498755912,won (berhasil),3498755912
trx-22819,4/12/2023,sulawesi,logistik & gudang,excavator,1,2234332584,2234332584,won (berhasil),2234332584
trx-20194,6/27/2021,sumatera,perkebunan,forklift,1,340592959,340592959,lost (gagal),0
trx-20528,8/25/2023,papua,pertambangan,genset (generator set),1,325801384,325801384,won (berhasil),325801384
trx-22525,4/21/2021,sulawesi,manufaktur,excavator,1,2264151476,2264151476,lost (gagal),0
trx-21210,3/13/2021,jawa,manufaktur,forklift,5,439545696,2197728480,in progress,0
trx-21809,2/3/2022,kalimantan,perkebunan,excavator,2,1732979193,3465958386,won (berhasil),3465958386
trx-20332,12/27/2021,jawa,pertambangan,excavator,1,2904329413,2904329413,lost (gagal),0
trx-22113,2/3/2023,papua,konstruksi,forklift,5,298092258,1490461290,in progress,0
trx-20298,10/2/2021,papua,pertambangan,tractor agrikultur,3,1173460686,3520382058,lost (gagal),0
trx-22344,1/24/2023,kalimantan,pertambangan,excavator,2,1593762410,3187524820,won (berhasil),3187524820
trx-21815,5/8/2021,jawa,logistik & gudang,genset (generator set),3,262242177,786726531,won (berhasil),786726531
trx-20864,4/20/2023,papua,logistik & gudang,genset (generator set),5,463596580,2317982900,won (berhasil),2317982900
trx-22223,7/28/2023,kalimantan,pertambangan,genset (generator set),2,212705812,425411624,won (berhasil),425411624
trx-21052,6/4/2023,jawa,konstruksi,excavator,1,2566022352,2566022352,lost (gagal),0
trx-20695,12/8/2022,jawa,manufaktur,genset (generator set),2,388416236,776832472,in progress,0
trx-21655,8/21/2021,sumatera,perkebunan,tractor agrikultur,3,1045136014,3135408042,lost (gagal),0
trx-21938,1/24/2022,kalimantan,manufaktur,forklift,3,220300655,660901965,in progress,0
trx-20045,2/27/2022,kalimantan,perkebunan,excavator,1,2477360586,2477360586,won (berhasil),2477360586
trx-22167,9/22/2023,sumatera,perkebunan,genset (generator set),5,380259259,1901296295,lost (gagal),0
trx-20544,10/22/2023,papua,konstruksi,forklift,5,543940011,2719700055,won (berhasil),2719700055
trx-21425,9/7/2023,jawa,konstruksi,genset (generator set),2,285485355,570970710,won (berhasil),570970710
trx-22168,11/2/2023,jawa,logistik & gudang,genset (generator set),1,144834237,144834237,lost (gagal),0
trx-20416,4/29/2023,sulawesi,perkebunan,excavator,1,2819139090,2819139090,won (berhasil),2819139090
trx-21814,8/21/2022,sulawesi,logistik & gudang,genset (generator set),1,204841889,204841889,won (berhasil),204841889
trx-21924,8/30/2023,jawa,logistik & gudang,genset (generator set),1,458285939,458285939,won (berhasil),458285939
trx-22079,2/22/2022,sumatera,konstruksi,forklift,4,407928255,1631713020,in progress,0
trx-20192,3/16/2022,sumatera,pertambangan,forklift,4,324542043,1298168172,won (berhasil),1298168172
trx-22909,9/23/2021,papua,pertambangan,excavator,2,2111211194,4222422388,in progress,0
trx-22917,10/31/2022,kalimantan,konstruksi,forklift,5,380568813,1902844065,won (berhasil),1902844065
trx-20314,2/22/2022,sulawesi,konstruksi,excavator,1,2137026056,2137026056,won (berhasil),2137026056
trx-20478,10/30/2022,papua,pertambangan,tractor agrikultur,2,1492032163,2984064326,won (berhasil),2984064326
trx-20354,2/22/2023,sulawesi,logistik & gudang,genset (generator set),4,415214165,1660856660,won (berhasil),1660856660
trx-20299,11/23/2022,sulawesi,perkebunan,tractor agrikultur,1,1085194603,1085194603,in progress,0
trx-21506,12/29/2021,sulawesi,pertambangan,tractor agrikultur,2,1403676503,2807353006,in progress,0
trx-21364,2/25/2022,kalimantan,pertambangan,genset (generator set),3,121261588,363784764,won (berhasil),363784764
trx-21242,10/15/2021,kalimantan,perkebunan,genset (generator set),1,454346417,454346417,won (berhasil),454346417
trx-22467,7/24/2023,sulawesi,manufaktur,excavator,1,1959036990,1959036990,in progress,0
trx-20727,10/1/2023,sulawesi,perkebunan,genset (generator set),5,204247309,1021236545,won (berhasil),1021236545
trx-22348,10/12/2023,kalimantan,pertambangan,excavator,1,1522306199,1522306199,won (berhasil),1522306199
trx-21084,7/9/2021,kalimantan,pertambangan,excavator,2,2944652213,5889304426,won (berhasil),5889304426
trx-20729,9/3/2021,sulawesi,manufaktur,tractor agrikultur,4,1219417393,4877669572,lost (gagal),0
trx-21954,7/23/2022,kalimantan,perkebunan,tractor agrikultur,2,1365182362,2730364724,in progress,0
trx-22878,4/21/2023,jawa,konstruksi,excavator,1,2002963534,2002963534,lost (gagal),0
trx-20842,2/25/2023,kalimantan,konstruksi,forklift,5,465064909,2325324545,won (berhasil),2325324545
trx-22345,2/9/2021,papua,konstruksi,forklift,1,364479685,364479685,in progress,0
trx-20432,6/25/2021,sumatera,manufaktur,tractor agrikultur,2,1089648610,2179297220,lost (gagal),0
trx-22570,7/28/2022,kalimantan,pertambangan,tractor agrikultur,1,859749620,859749620,won (berhasil),859749620
trx-22579,1/12/2021,kalimantan,pertambangan,forklift,3,410168344,1230505032,won (berhasil),1230505032
trx-20175,5/13/2023,kalimantan,perkebunan,genset (generator set),2,157670164,315340328,won (berhasil),315340328
trx-20256,2/17/2022,kalimantan,perkebunan,forklift,3,505926143,1517778429,won (berhasil),1517778429
trx-22118,3/4/2022,papua,konstruksi,excavator,2,2926559936,5853119872,won (berhasil),5853119872
trx-22403,10/31/2021,sumatera,pertambangan,genset (generator set),2,217263033,434526066,won (berhasil),434526066
trx-20443,8/4/2021,papua,manufaktur,genset (generator set),1,313059443,313059443,lost (gagal),0
trx-21336,3/22/2021,sulawesi,pertambangan,genset (generator set),3,186588414,559765242,won (berhasil),559765242
trx-22151,1/20/2023,jawa,perkebunan,tractor agrikultur,5,1191954420,5959772100,lost (gagal),0
trx-22297,2/21/2023,papua,perkebunan,tractor agrikultur,5,1168625680,5843128400,lost (gagal),0
trx-21839,4/10/2021,sulawesi,perkebunan,excavator,1,2250601264,2250601264,lost (gagal),0
trx-22793,7/29/2021,sumatera,perkebunan,tractor agrikultur,3,1461252193,4383756579,won (berhasil),4383756579
trx-22772,10/22/2021,jawa,manufaktur,forklift,1,268216354,268216354,won (berhasil),268216354
trx-22769,11/6/2021,papua,manufaktur,excavator,1,2574891102,2574891102,won (berhasil),2574891102
trx-22594,3/14/2023,kalimantan,logistik & gudang,tractor agrikultur,2,1104932494,2209864988,lost (gagal),0
trx-22322,5/5/2022,papua,pertambangan,genset (generator set),5,404801265,2024006325,won (berhasil),2024006325
trx-22299,3/3/2023,sumatera,logistik & gudang,forklift,3,519628907,1558886721,won (berhasil),1558886721
trx-20196,11/23/2021,kalimantan,konstruksi,tractor agrikultur,5,807161992,4035809960,lost (gagal),0
trx-21909,5/25/2022,papua,logistik & gudang,genset (generator set),1,150757048,150757048,won (berhasil),150757048
trx-20170,4/15/2023,kalimantan,perkebunan,tractor agrikultur,3,871305573,2613916719,won (berhasil),2613916719
trx-22826,10/29/2022,sumatera,konstruksi,tractor agrikultur,3,1082013815,3246041445,lost (gagal),0
trx-20088,10/23/2022,sulawesi,pertambangan,genset (generator set),2,280897878,561795756,won (berhasil),561795756
trx-21480,8/4/2022,kalimantan,perkebunan,excavator,2,1943760802,3887521604,won (berhasil),3887521604
trx-20829,5/23/2022,sulawesi,logistik & gudang,tractor agrikultur,2,1278697531,2557395062,won (berhasil),2557395062
trx-20270,10/1/2021,sumatera,pertambangan,tractor agrikultur,5,1111064359,5555321795,lost (gagal),0
trx-22922,4/13/2021,papua,konstruksi,genset (generator set),5,147041716,735208580,won (berhasil),735208580
trx-21047,1/18/2023,papua,pertambangan,tractor agrikultur,3,1440932710,4322798130,won (berhasil),4322798130
trx-20810,5/14/2022,papua,logistik & gudang,tractor agrikultur,5,1215847920,6079239600,won (berhasil),6079239600
trx-20650,8/10/2022,sulawesi,perkebunan,tractor agrikultur,5,1373176070,6865880350,won (berhasil),6865880350
trx-21114,10/27/2022,jawa,pertambangan,excavator,2,1911856951,3823713902,won (berhasil),3823713902
trx-22635,3/30/2023,sumatera,perkebunan,forklift,3,591381824,1774145472,lost (gagal),0
trx-21237,9/11/2021,jawa,konstruksi,genset (generator set),4,166509156,666036624,won (berhasil),666036624
trx-20152,5/16/2022,papua,perkebunan,forklift,3,411698797,1235096391,won (berhasil),1235096391
trx-21740,4/17/2021,sumatera,manufaktur,genset (generator set),1,344212957,344212957,won (berhasil),344212957
trx-22285,11/13/2023,jawa,manufaktur,tractor agrikultur,4,830965931,3323863724,lost (gagal),0
trx-21657,3/21/2023,sumatera,pertambangan,tractor agrikultur,2,1230872179,2461744358,won (berhasil),2461744358
trx-21410,11/18/2021,kalimantan,konstruksi,forklift,5,216218591,1081092955,lost (gagal),0
trx-20289,9/25/2022,sulawesi,perkebunan,genset (generator set),5,148563234,742816170,lost (gagal),0
trx-21817,12/29/2023,papua,pertambangan,forklift,3,283736825,851210475,won (berhasil),851210475
trx-22934,2/16/2023,papua,perkebunan,genset (generator set),4,243436532,973746128,won (berhasil),973746128
trx-21268,3/8/2023,papua,pertambangan,tractor agrikultur,1,940647662,940647662,won (berhasil),940647662
trx-22788,6/8/2022,sumatera,perkebunan,genset (generator set),2,402250615,804501230,lost (gagal),0
trx-22104,4/12/2021,jawa,logistik & gudang,genset (generator set),1,185115967,185115967,won (berhasil),185115967
trx-20449,12/2/2023,papua,pertambangan,excavator,1,2089772103,2089772103,won (berhasil),2089772103
trx-21966,7/26/2021,kalimantan,konstruksi,tractor agrikultur,2,1122380885,2244761770,lost (gagal),0
trx-20930,2/11/2023,kalimantan,pertambangan,excavator,2,2587621059,5175242118,won (berhasil),5175242118
trx-20257,3/12/2023,sumatera,konstruksi,forklift,2,463576546,927153092,in progress,0
trx-21216,4/4/2022,sumatera,perkebunan,excavator,2,2509679822,5019359644,won (berhasil),5019359644
trx-21621,2/12/2022,papua,konstruksi,excavator,2,2158281265,4316562530,won (berhasil),4316562530
trx-20682,8/3/2022,sumatera,perkebunan,excavator,2,1535304204,3070608408,won (berhasil),3070608408
trx-22228,3/6/2023,kalimantan,pertambangan,genset (generator set),5,222879215,1114396075,lost (gagal),0
trx-22441,1/25/2023,sulawesi,perkebunan,excavator,2,2600815223,5201630446,lost (gagal),0
trx-21714,1/29/2023,kalimantan,pertambangan,excavator,1,1714881823,1714881823,won (berhasil),1714881823
trx-20067,11/9/2021,papua,pertambangan,genset (generator set),1,197345131,197345131,lost (gagal),0
trx-21455,9/12/2022,jawa,logistik & gudang,genset (generator set),1,171088611,171088611,lost (gagal),0
trx-22582,11/20/2022,papua,pertambangan,excavator,2,2502372941,5004745882,lost (gagal),0
trx-22447,5/7/2023,papua,konstruksi,excavator,1,2544309551,2544309551,lost (gagal),0
trx-22768,4/5/2021,sumatera,perkebunan,forklift,1,570970215,570970215,won (berhasil),570970215
trx-21640,10/29/2021,kalimantan,perkebunan,genset (generator set),4,110786646,443146584,won (berhasil),443146584
trx-21099,12/27/2023,kalimantan,pertambangan,forklift,2,278014625,556029250,won (berhasil),556029250
trx-20736,12/28/2023,kalimantan,konstruksi,genset (generator set),3,153478393,460435179,won (berhasil),460435179
trx-20511,9/18/2022,papua,konstruksi,excavator,1,2199360547,2199360547,won (berhasil),2199360547
trx-21871,10/22/2021,sulawesi,logistik & gudang,excavator,2,2372478739,4744957478,won (berhasil),4744957478
trx-21151,2/1/2023,sumatera,konstruksi,tractor agrikultur,2,1090228755,2180457510,won (berhasil),2180457510
trx-21609,5/31/2023,sumatera,perkebunan,tractor agrikultur,5,1376645460,6883227300,lost (gagal),0
trx-20124,2/26/2023,kalimantan,pertambangan,excavator,1,2851344633,2851344633,won (berhasil),2851344633
trx-22505,11/3/2023,papua,pertambangan,forklift,1,1654925111,1654925111,won (berhasil),1654925111
trx-21159,8/14/2022,kalimantan,manufaktur,excavator,1,2699370951,2699370951,won (berhasil),2699370951
trx-20506,5/6/2023,papua,logistik & gudang,genset (generator set),4,498109181,1992436724,won (berhasil),1992436724
