Order_ID,Tanggal_Transaksi,Region,Sektor_Industri,Kategori_Produk,Kuantitas,Harga_Satuan_IDR,Total_Nilai_Deal_IDR,Status_Transaksi,Revenue_IDR
TRX-22342,2021-03-04,Kalimantan,Pertambangan,Genset (Generator Set),4,498745045,1994980180,Lost (Gagal),0
TRX-21497,2021-04-15,Kalimantan,Pertambangan,Tractor Agrikultur,2,1437814887,2875629774,Lost (Gagal),0
TRX-22966,2023-01-20,Sumatera,Konstruksi,Excavator,2,2885963943,5771927886,In Progress,0
TRX-22413,2023-05-27,Kalimantan,Pertambangan,Genset (Generator Set),1,403449666,403449666,Won (Berhasil),403449666
TRX-22807,2023-05-09,Papua,Konstruksi,Tractor Agrikultur,1,1072760996,1072760996,Won (Berhasil),1072760996
TRX-21283,2022-08-23,Sulawesi,Pertambangan,Genset (Generator Set),2,434474711,868949422,Lost (Gagal),0
TRX-22868,2023-03-25,Kalimantan,Konstruksi,Forklift,2,590090784,1180181568,Lost (Gagal),0
TRX-20889,2021-05-22,Papua,,Genset (Generator Set),1,377612979,377612979,Won (Berhasil),377612979
TRX-21459,2021-12-07,Sulawesi,Pertambangan,Forklift,4,398536168,1594144672,Won (Berhasil),1594144672
TRX-20651,2023-08-02,Kalimantan,Pertambangan,Forklift,5,0,0,Won (Berhasil),1944713855
TRX-21436,2022-05-10,Sumatera,Konstruksi,Excavator,1,2094089591,2094089591,Won (Berhasil),2094089591
TRX-20554,2021-04-23,Kalimantan,Konstruksi,Tractor Agrikultur,2,1090186186,2180372372,Won (Berhasil),2180372372
TRX-22263,2021-10-28,Kalimantan,Pertambangan,Tractor Agrikultur,2,833599902,1667199804,Won (Berhasil),1667199804
TRX-20439,2023-04-08,Papua,Konstruksi,Excavator,1,1644051575,1644051575,In Progress,0
TRX-22567,2022-02-09,Sulawesi,Manufaktur,Genset (Generator Set),2,215111435,430222870,Won (Berhasil),430222870
TRX-21041,2021-06-17,Sumatera,Perkebunan,Genset (Generator Set),5,455807221,2279036105,Lost (Gagal),0
TRX-21226,2021-02-04,Papua,Logistik & Gudang,Excavator,2,2728346837,5456693674,Won (Berhasil),5456693674
TRX-20188,2023-11-22,Papua,Manufaktur,Genset (Generator Set),2,262571827,525143654,Won (Berhasil),525143654
TRX-21779,2022-08-29,Sumatera,Pertambangan,Genset (Generator Set),2,376273346,752546692,Won (Berhasil),752546692
TRX-20495,2021-06-23,Kalimantan,Konstruksi,Genset (Generator Set),1,363202255,363202255,Won (Berhasil),363202255
TRX-20790,2022-07-23,Kalimantan,Manufaktur,Excavator,1,2783176964,2783176964,Won (Berhasil),2783176964
TRX-20572,2021-02-13,Jawa,Perkebunan,Forklift,3,250261637,750784911,Lost (Gagal),0
TRX-22190,2022-11-30,Kalimantan,Pertambangan,Excavator,2,2713196952,5426393904,Won (Berhasil),5426393904
TRX-21710,2022-09-10,Sumatera,Pertambangan,Forklift,4,559177086,2236708344,Won (Berhasil),2236708344
TRX-20831,2021-04-20,Papua,Pertambangan,Excavator,2,1970060421,3940120842,In Progress,0
TRX-22738,2023-07-24,Sulawesi,Perkebunan,Excavator,1,1937695591,1937695591,Lost (Gagal),0
TRX-22619,2021-09-25,Sulawesi,Perkebunan,Genset (Generator Set),2,393372830,786745660,Won (Berhasil),786745660
TRX-22007,2021-12-22,Jawa,Pertambangan,Excavator,2,1501722184,3003444368,Won (Berhasil),3003444368
TRX-20568,2021-01-22,Kalimantan,Perkebunan,Forklift,5,354138326,1770691630,Won (Berhasil),1770691630
TRX-20102,2023-02-03,Papua,Logistik & Gudang,Excavator,2,2323896185,4647792370,Won (Berhasil),4647792370
TRX-21583,2021-07-19,Papua,Pertambangan,Forklift,1,522954917,522954917,Won (Berhasil),522954917
TRX-22286,2022-10-23,Papua,Pertambangan,Genset (Generator Set),2,252780403,505560806,Won (Berhasil),505560806
TRX-22012,2022-07-21,Sumatera,Perkebunan,Excavator,2,2115013110,4230026220,Won (Berhasil),4230026220
TRX-22662,2022-03-15,Papua,Pertambangan,Excavator,2,2241215017,4482430034,Won (Berhasil),4482430034
TRX-22823,2023-01-07,Jawa,Logistik & Gudang,Tractor Agrikultur,5,821213263,4106066315,Won (Berhasil),4106066315
TRX-21179,2023-05-26,Sumatera,Perkebunan,Tractor Agrikultur,3,807782728,2423348184,Won (Berhasil),2423348184
TRX-20051,2023-06-28,Kalimantan,Konstruksi,Forklift,5,445073767,2225368835,Won (Berhasil),2225368835
TRX-20507,2022-02-11,Kalimantan,Logistik & Gudang,Forklift,1,256930170,256930170,Lost (Gagal),0
TRX-21017,2023-03-10,Jawa,Konstruksi,Excavator,1,2888525654,2888525654,Won (Berhasil),2888525654
TRX-21091,2022-07-14,Sumatera,Logistik & Gudang,Excavator,2,2242200804,4484401608,In Progress,0
TRX-20063,2023-04-22,Papua,Konstruksi,Tractor Agrikultur,1,1279185637,1279185637,Won (Berhasil),1279185637
TRX-20944,2022-08-19,Jawa,Logistik & Gudang,Genset (Generator Set),5,406547045,2032735225,Won (Berhasil),2032735225
TRX-22375,2023-11-04,Sumatera,Perkebunan,Forklift,4,480535064,1922140256,Won (Berhasil),1922140256
TRX-20044,2023-07-14,Jawa,Perkebunan,Tractor Agrikultur,4,843945258,3375781032,Won (Berhasil),3375781032
TRX-22707,2021-04-04,Sulawesi,Logistik & Gudang,Forklift,2,423015877,846031754,In Progress,0
TRX-21510,2023-05-31,Kalimantan,Konstruksi,Forklift,2,519694465,1039388930,In Progress,0
TRX-20254,2021-10-31,Sumatera,Pertambangan,Excavator,2,2146382707,4292765414,Lost (Gagal),0
TRX-20321,2023-05-20,Sulawesi,Manufaktur,Excavator,1,1947128306,1947128306,Lost (Gagal),0
TRX-22804,2022-03-13,,Manufaktur,Genset (Generator Set),5,283144906,1415724530,Won (Berhasil),1415724530
TRX-22937,2021-05-03,Papua,Pertambangan,Tractor Agrikultur,3,1416627460,4249882380,Won (Berhasil),4249882380
TRX-20705,2022-10-07,Sumatera,Perkebunan,Excavator,2,1767226531,3534453062,Won (Berhasil),3534453062
TRX-22270,2021-09-15,Sulawesi,Logistik & Gudang,Excavator,1,1740278867,1740278867,In Progress,0
TRX-22124,2021-05-14,Sumatera,Perkebunan,Forklift,5,273502007,1367510035,In Progress,0
TRX-22861,2021-10-27,Sumatera,Konstruksi,Excavator,2,2997242835,5994485670,Won (Berhasil),5994485670
TRX-22589,2023-04-14,Sulawesi,Pertambangan,Genset (Generator Set),5,463869275,2319346375,Won (Berhasil),2319346375
TRX-20472,2022-05-08,Papua,Konstruksi,Excavator,2,1876739863,3753479726,Won (Berhasil),3753479726
TRX-21451,2023-01-09,Papua,Pertambangan,Genset (Generator Set),2,473527665,947055330,Won (Berhasil),947055330
TRX-20139,2021-05-21,Sumatera,Perkebunan,Forklift,3,497713442,1493140326,Won (Berhasil),1493140326
TRX-22574,2021-11-19,Kalimantan,Manufaktur,Forklift,3,384341073,1153023219,Won (Berhasil),1153023219
TRX-20581,2023-12-03,Papua,Pertambangan,Forklift,2,402489559,804979118,In Progress,0
TRX-22605,2021-01-31,Sulawesi,Manufaktur,Forklift,1,419775246,419775246,Lost (Gagal),0
TRX-20809,2022-01-28,Sulawesi,Konstruksi,Forklift,3,410850139,1232550417,Won (Berhasil),1232550417
TRX-22591,2023-07-19,Sulawesi,Manufaktur,Genset (Generator Set),1,317168954,317168954,Won (Berhasil),317168954
TRX-21822,2022-10-24,Sumatera,Perkebunan,Genset (Generator Set),2,381698791,763397582,Won (Berhasil),763397582
TRX-21475,2021-02-14,Sulawesi,Konstruksi,Tractor Agrikultur,4,1008124889,4032499556,In Progress,0
TRX-21891,2023-10-10,Sumatera,Perkebunan,Excavator,2,1710358969,3420717938,Lost (Gagal),0
TRX-21427,2023-01-18,Papua,Perkebunan,Tractor Agrikultur,1,941511050,941511050,In Progress,0
TRX-22585,2023-08-16,Papua,Logistik & Gudang,Genset (Generator Set),3,140003929,420011787,Lost (Gagal),0
TRX-20134,2021-09-04,Kalimantan,Konstruksi,Tractor Agrikultur,4,1370533634,5482134536,Lost (Gagal),0
TRX-20741,2022-10-17,Sumatera,Pertambangan,Tractor Agrikultur,5,1212410064,6062050320,Won (Berhasil),6062050320
TRX-20964,2023-12-26,,Pertambangan,Tractor Agrikultur,3,839287222,2517861666,Won (Berhasil),2517861666
TRX-20149,2021-03-02,Sulawesi,Perkebunan,Forklift,1,397078628,397078628,Won (Berhasil),397078628
TRX-20240,2021-03-12,Papua,Pertambangan,Genset (Generator Set),4,152823036,611292144,Won (Berhasil),611292144
TRX-21766,2021-07-18,Sulawesi,Logistik & Gudang,Forklift,1,571522740,571522740,Won (Berhasil),571522740
TRX-21896,2022-08-15,Papua,Konstruksi,Forklift,4,293371530,1173486120,Won (Berhasil),1173486120
TRX-22321,2022-07-22,Sulawesi,Manufaktur,Excavator,2,1634947681,3269895362,Won (Berhasil),3269895362
TRX-20174,2021-01-28,Jawa,Logistik & Gudang,Genset (Generator Set),2,443615820,887231640,Lost (Gagal),0
TRX-20052,2021-03-29,Papua,Manufaktur,Excavator,2,2527037549,5054075098,Won (Berhasil),5054075098
TRX-21146,2021-09-27,Sumatera,Logistik & Gudang,Tractor Agrikultur,1,1272992945,1272992945,Won (Berhasil),1272992945
TRX-20144,2022-07-02,Kalimantan,Manufaktur,Genset (Generator Set),3,482965634,1448896902,Won (Berhasil),1448896902
TRX-20331,2023-07-30,Jawa,Konstruksi,Forklift,-2,432453285,-864906570,Won (Berhasil),432453285
TRX-20246,2022-05-21,Sulawesi,Perkebunan,Excavator,1,1760769162,1760769162,Won (Berhasil),1760769162
TRX-21971,2021-01-24,Kalimantan,Manufaktur,Tractor Agrikultur,1,1473075451,1473075451,In Progress,0
TRX-22484,2022-07-31,Sulawesi,Konstruksi,Excavator,2,2145404843,4290809686,Lost (Gagal),0
TRX-21620,2022-01-18,Sulawesi,Pertambangan,Tractor Agrikultur,5,1200794281,6003971405,Won (Berhasil),6003971405
TRX-20557,2023-12-15,Sulawesi,Manufaktur,Genset (Generator Set),5,136415255,682076275,Won (Berhasil),682076275
TRX-20251,2021-11-19,Sumatera,Konstruksi,Excavator,1,2186858135,2186858135,Lost (Gagal),0
TRX-21116,2021-05-28,Kalimantan,Pertambangan,Forklift,3,226094581,678283743,Lost (Gagal),0
TRX-21877,2021-04-05,Kalimantan,Konstruksi,Genset (Generator Set),2,313056307,626112614,Won (Berhasil),626112614
TRX-22522,2023-02-28,Kalimantan,Pertambangan,Forklift,-2,304858722,-609717444,Won (Berhasil),914576166
TRX-20211,2022-11-28,Sulawesi,Manufaktur,Excavator,1,1608971890,1608971890,Won (Berhasil),1608971890
TRX-20000,2021-10-11,Sumatera,Pertambangan,Forklift,5,273433487,1367167435,Won (Berhasil),1367167435
TRX-21476,2023-10-16,Papua,,Genset (Generator Set),3,239310412,717931236,In Progress,0
TRX-21553,2021-02-19,Kalimantan,Konstruksi,Genset (Generator Set),5,402693373,2013466865,Lost (Gagal),0
TRX-21295,2021-08-02,Kalimantan,Pertambangan,Tractor Agrikultur,5,1412826536,7064132680,Lost (Gagal),0
TRX-20565,2023-07-08,Sulawesi,Manufaktur,Ekskavator,3,1285451495,3856354485,Won (Berhasil),3856354485
TRX-21234,2023-03-24,Sulawesi,Manufaktur,Genset (Generator Set),5,171176431,855882155,In Progress,0
TRX-21624,2021-09-25,Papua,Pertambangan,Tractor Agrikultur,3,1327539562,3982618686,In Progress,0
TRX-22914,2023-02-19,Jawa,Pertambangan,Forklift,3,296159488,888478464,Won (Berhasil),888478464
TRX-20789,2021-07-17,Sumatera,Perkebunan,Forklift,3,460840526,1382521578,Won (Berhasil),1382521578
TRX-20812,2023-05-13,Sumatera,Pertambangan,Tractor Agrikultur,3,1178195503,3534586509,Won (Berhasil),3534586509
TRX-20266,2021-12-25,Sumatera,Manufaktur,Excavator,2,1987450412,3974900824,Won (Berhasil),3974900824
TRX-22797,2023-11-17,Jawa,Pertambangan,Genset (Generator Set),2,445471473,890942946,Won (Berhasil),890942946
TRX-20322,2022-11-25,Sulawesi,Konstruksi,Excavator,1,2511816241,2511816241,Won (Berhasil),2511816241
TRX-20032,2023-08-04,Sumatera,Logistik & Gudang,Genset (Generator Set),5,342132539,1710662695,Lost (Gagal),0
TRX-20370,2023-06-05,Sumatera,Logistik & Gudang,Tractor Agrikultur,1,1176933795,1176933795,Won (Berhasil),1176933795
TRX-22463,2021-03-06,Kalimantan,Pertambangan,Genset (Generator Set),4,390880611,1563522444,Lost (Gagal),0
TRX-20014,2022-06-05,Sulawesi,Perkebunan,Tractor Agrikultur,2,1229385656,2458771312,Won (Berhasil),2458771312
TRX-20093,2023-12-30,Sumatera,Konstruksi,Tractor Agrikultur,3,896043518,2688130554,In Progress,0
TRX-22757,2021-04-13,Sumatera,Perkebunan,Tractor Agrikultur,3,1495964571,4487893713,Won (Berhasil),4487893713
TRX-20879,2023-09-15,Sulawesi,Konstruksi,Genset (Generator Set),1,281815120,281815120,Lost (Gagal),0
TRX-20642,2022-04-06,Sumatera,Perkebunan,Excavator,2,2088066793,4176133586,In Progress,0
TRX-22097,2022-05-03,Jawa,Logistik & Gudang,Forklift,2,313819183,627638366,In Progress,0
TRX-21602,2023-02-17,Sumatera,Perkebunan,Genset (Generator Set),1,151389384,151389384,Lost (Gagal),0
TRX-21106,2023-07-17,Papua,Manufaktur,Forklift,3,365513386,1096540158,Lost (Gagal),0
TRX-20756,2022-01-21,Jawa,Logistik & Gudang,Excavator,2,2506354147,5012708294,Lost (Gagal),0
TRX-21075,2022-01-12,Kalimantan,Pertambangan,Tractor Agrikultur,1,1074565106,1074565106,Won (Berhasil),1074565106
TRX-20430,2022-11-02,Kalimantan,Konstruksi,Genset (Generator Set),2,242876295,485752590,Won (Berhasil),485752590
TRX-20450,2022-09-18,Jawa,Konstruksi,Forklift,5,495291840,2476459200,Lost (Gagal),0
TRX-22002,2021-05-25,Sumatera,Pertambangan,Genset (Generator Set),2,286209505,572419010,Won (Berhasil),572419010
TRX-21837,2022-12-15,Sumatera,Perkebunan,Tractor Agrikultur,1,948031617,948031617,Won (Berhasil),948031617
TRX-21688,2023-05-03,Papua,Logistik & Gudang,Genset (Generator Set),1,162605564,162605564,Won (Berhasil),162605564
TRX-20691,2022-08-27,Kalimantan,Konstruksi,Tractor Agrikultur,3,1170605746,3511817238,Won (Berhasil),3511817238
TRX-22637,2021-12-21,Sulawesi,Manufaktur,Excavator,1,2048654572,2048654572,Lost (Gagal),0
TRX-21849,2021-05-25,Kalimantan,Pertambangan,Tractor Agrikultur,3,884558827,2653676481,In Progress,0
TRX-21429,2021-09-13,Papua,Perkebunan,Genset (Generator Set),3,470207447,1410622341,Won (Berhasil),1410622341
TRX-20759,2022-12-23,Jawa,Konstruksi,Tractor Agrikultur,2,962153712,1924307424,Won (Berhasil),1924307424
TRX-20184,2021-07-06,Papua,Pertambangan,Excavator,2,2066383380,4132766760,Lost (Gagal),0
TRX-21235,2021-09-27,Sumatera,Pertambangan,Genset (Generator Set),4,244073942,976295768,Won (Berhasil),976295768
TRX-20203,2023-09-20,Kalimantan,Konstruksi,Tractor Agrikultur,1,1210196506,1210196506,Won (Berhasil),1210196506
TRX-20801,2023-06-18,Papua,Logistik & Gudang,Tractor Agrikultur,2,1079757428,2159514856,In Progress,0
TRX-20463,2021-03-18,Jawa,Pertambangan,Excavator,1,1658810088,1658810088,Won (Berhasil),1658810088
TRX-21423,2021-12-26,Sumatera,Perkebunan,Genset (Generator Set),2,422002430,844004860,Lost (Gagal),0
TRX-21177,2022-09-09,Sulawesi,Konstruksi,Forklift,2,444244947,888489894,Won (Berhasil),888489894
TRX-22414,2022-03-12,,Pertambangan,Genset (Generator Set),5,369851777,1849258885,Won (Berhasil),1849258885
TRX-20839,2022-12-10,Sulawesi,Manufaktur,Forklift,3,270945155,812835465,Won (Berhasil),812835465
TRX-21395,2021-06-11,Papua,Pertambangan,Forklift,1,425390700,425390700,Won (Berhasil),425390700
TRX-22554,2021-07-20,,Manufaktur,Forklift,4,426968442,1707873768,Won (Berhasil),1707873768
TRX-22869,2023-04-11,Papua,Pertambangan,Tractor Agrikultur,4,1337975637,5351902548,Won (Berhasil),5351902548
TRX-21913,2021-05-30,Sumatera,Perkebunan,Ekskavator,4,874688978,3498755912,Won (Berhasil),3498755912
TRX-22819,2023-04-12,Sulawesi,Logistik & Gudang,Excavator,1,2234332584,2234332584,Won (Berhasil),2234332584
TRX-20194,2021-06-27,Sumatera,Perkebunan,Forklift,1,340592959,340592959,Lost (Gagal),0
TRX-20528,2023-08-25,Papua,Pertambangan,Genset (Generator Set),1,325801384,325801384,Won (Berhasil),325801384
TRX-22525,2021-04-21,Sulawesi,Manufaktur,Excavator,1,2264151476,2264151476,Lost (Gagal),0
TRX-21210,2021-03-13,Jawa,Manufaktur,Forklift,5,439545696,2197728480,In Progress,0
TRX-21809,2022-02-03,Kalimantan,Perkebunan,Excavator,2,1732979193,3465958386,Won (Berhasil),3465958386
TRX-20332,2021-12-27,Jawa,Pertambangan,Excavator,1,2904329413,2904329413,Lost (Gagal),0
TRX-22113,2023-02-03,Papua,Konstruksi,Forklift,5,298092258,1490461290,In Progress,0
TRX-20298,2021-10-02,Papua,Pertambangan,Tractor Agrikultur,3,1173460686,3520382058,Lost (Gagal),0
TRX-22344,2023-01-24,Kalimantan,Pertambangan,Excavator,2,1593762410,3187524820,Won (Berhasil),3187524820
TRX-21815,2021-05-08,Jawa,Logistik & Gudang,Genset (Generator Set),3,262242177,786726531,Won (Berhasil),786726531
TRX-20864,2023-04-20,Papua,Logistik & Gudang,Genset (Generator Set),5,463596580,2317982900,Won (Berhasil),2317982900
TRX-22223,2023-07-28,Kalimantan,Pertambangan,Genset (Generator Set),2,212705812,425411624,Won (Berhasil),425411624
TRX-21052,2023-06-04,Jawa,Konstruksi,Excavator,1,2566022352,2566022352,Lost (Gagal),0
TRX-20695,2022-12-08,Jawa,Manufaktur,Genset (Generator Set),2,388416236,776832472,In Progress,0
TRX-21655,2021-08-21,Sumatera,Perkebunan,Tractor Agrikultur,3,1045136014,3135408042,Lost (Gagal),0
TRX-21938,2022-01-24,Kalimantan,Manufaktur,Forklift,3,220300655,660901965,In Progress,0
TRX-20045,2022-02-27,Kalimantan,Perkebunan,Excavator,1,2477360586,2477360586,Won (Berhasil),2477360586
TRX-22167,2023-09-22,Sumatera,Perkebunan,Genset (Generator Set),5,380259259,1901296295,Lost (Gagal),0
TRX-20544,2023-10-22,Papua,Konstruksi,Forklift,5,543940011,2719700055,Won (Berhasil),2719700055
TRX-21425,2023-09-07,Jawa,Konstruksi,Genset (Generator Set),2,285485355,570970710,Won (Berhasil),570970710
TRX-22168,2023-11-02,Jawa,Logistik & Gudang,Genset (Generator Set),1,144834237,144834237,Lost (Gagal),0
TRX-20416,2023-04-29,Sulawesi,Perkebunan,Excavator,1,2819139090,2819139090,Won (Berhasil),2819139090
TRX-21814,2022-08-21,Sulawesi,Logistik & Gudang,Genset (Generator Set),1,204841889,204841889,Won (Berhasil),204841889
TRX-21924,2023-08-30,Jawa,Logistik & Gudang,Genset (Generator Set),1,458285939,458285939,Won (Berhasil),458285939
TRX-22079,2022-02-22,Sumatera,Konstruksi,Forklift,4,407928255,1631713020,In Progress,0
TRX-20192,2022-03-16,Sumatera,Pertambangan,Forklift,4,324542043,1298168172,Won (Berhasil),1298168172
TRX-22909,2021-09-23,Papua,Pertambangan,Excavator,2,2111211194,4222422388,In Progress,0
TRX-22917,2022-10-31,Kalimantan,Konstruksi,Forklift,5,380568813,1902844065,Won (Berhasil),1902844065
TRX-20314,2022-02-22,Sulawesi,Konstruksi,Excavator,1,2137026056,2137026056,Won (Berhasil),2137026056
TRX-20478,2022-10-30,Papua,Pertambangan,Tractor Agrikultur,2,1492032163,2984064326,Won (Berhasil),2984064326
TRX-20063,2023-04-22,Papua,Konstruksi,Tractor Agrikultur,1,1279185637,1279185637,Won (Berhasil),1279185637
TRX-20354,2023-02-22,Sulawesi,Logistik & Gudang,Genset (Generator Set),4,415214165,1660856660,Won (Berhasil),1660856660
TRX-20299,2022-11-23,Sulawesi,Perkebunan,Tractor Agrikultur,1,1085194603,1085194603,In Progress,0
TRX-21506,2021-12-29,Sulawesi,Pertambangan,Tractor Agrikultur,2,1403676503,2807353006,In Progress,0
TRX-21364,2022-02-25,Kalimantan,Pertambangan,Genset (Generator Set),3,121261588,363784764,Won (Berhasil),363784764
TRX-21242,2021-10-15,Kalimantan,Perkebunan,Genset (Generator Set),1,454346417,454346417,Won (Berhasil),454346417
TRX-22467,2023-07-24,Sulawesi,Manufaktur,Excavator,1,1959036990,1959036990,In Progress,0
TRX-20727,2023-10-01,Sulawesi,Perkebunan,Genset (Generator Set),5,204247309,1021236545,Won (Berhasil),1021236545
TRX-22348,2023-10-12,Kalimantan,Pertambangan,Excavator,1,1522306199,1522306199,Won (Berhasil),1522306199
TRX-21084,2021-07-09,Kalimantan,Pertambangan,Excavator,2,2944652213,5889304426,Won (Berhasil),5889304426
TRX-20729,2021-09-03,Sulawesi,Manufaktur,Tractor Agrikultur,4,1219417393,4877669572,Lost (Gagal),0
TRX-21954,2022-07-23,Kalimantan,Perkebunan,Tractor Agrikultur,2,1365182362,2730364724,In Progress,0
TRX-22878,2023-04-21,Jawa,Konstruksi,Excavator,1,2002963534,2002963534,Lost (Gagal),0
TRX-20842,2023-02-25,Kalimantan,Konstruksi,Forklift,5,465064909,2325324545,Won (Berhasil),2325324545
TRX-22345,2021-02-09,Papua,Konstruksi,Forklift,1,364479685,364479685,In Progress,0
TRX-20432,2021-06-25,Sumatera,Manufaktur,Tractor Agrikultur,2,1089648610,2179297220,Lost (Gagal),0
TRX-22570,2022-07-28,Kalimantan,Pertambangan,Tractor Agrikultur,1,859749620,859749620,Won (Berhasil),859749620
TRX-22579,2021-01-12,Kalimantan,Pertambangan,Forklift,3,410168344,1230505032,Won (Berhasil),1230505032
TRX-20175,2023-05-13,Kalimantan,Perkebunan,Genset (Generator Set),2,157670164,315340328,Won (Berhasil),315340328
TRX-20256,2022-02-17,Kalimantan,Perkebunan,Forklip,3,505926143,1517778429,Won (Berhasil),1517778429
TRX-22118,2022-03-04,Papua,Konstruksi,Excavator,2,2926559936,5853119872,Won (Berhasil),5853119872
TRX-22403,2021-10-31,Sumatera,Pertambangan,Genset (Generator Set),2,217263033,434526066,Won (Berhasil),434526066
TRX-20443,2021-08-04,Papua,Manufaktur,Genset (Generator Set),1,313059443,313059443,Lost (Gagal),0
TRX-21336,2021-03-22,Sulawesi,Pertambangan,Genset (Generator Set),3,186588414,559765242,Won (Berhasil),559765242
TRX-22151,2023-01-20,Jawa,Perkebunan,Tractor Agrikultur,5,1191954420,5959772100,Lost (Gagal),0
TRX-22297,2023-02-21,Papua,Perkebunan,Tractor Agrikultur,5,1168625680,5843128400,Lost (Gagal),0
TRX-21839,2021-04-10,Sulawesi,Perkebunan,Excavator,1,2250601264,2250601264,Lost (Gagal),0
TRX-22793,2021-07-29,Sumatera,Perkebunan,Tractor Agrikultur,3,1461252193,4383756579,Won (Berhasil),4383756579
TRX-22772,2021-10-22,Jawa,Manufaktur,Forklift,1,268216354,268216354,Won (Berhasil),268216354
TRX-22769,2021-11-06,Papua,Manufaktur,Excavator,1,2574891102,2574891102,Won (Berhasil),2574891102
TRX-22594,2023-03-14,Kalimantan,Logistik & Gudang,Tractor Agrikultur,2,1104932494,2209864988,Lost (Gagal),0
TRX-22322,2022-05-05,Papua,Pertambangan,Genset (Generator Set),5,404801265,2024006325,Won (Berhasil),2024006325
TRX-22299,2023-03-03,Sumatera,Logistik & Gudang,Forklift,3,519628907,1558886721,Won (Berhasil),1558886721
TRX-20196,2021-11-23,Kalimantan,Konstruksi,Tractor Agrikultur,5,807161992,4035809960,Lost (Gagal),0
TRX-21909,2022-05-25,Papua,Logistik & Gudang,Genset (Generator Set),1,150757048,150757048,Won (Berhasil),150757048
TRX-20170,2023-04-15,Kalimantan,Perkebunan,Tractor Agrikultur,3,871305573,2613916719,Won (Berhasil),2613916719
TRX-20298,2021-10-02,Papua,Pertambangan,Tractor Agrikultur,3,1173460686,3520382058,Lost (Gagal),0
TRX-22826,2022-10-29,Sumatera,Konstruksi,Tractor Agrikultur,3,1082013815,3246041445,Lost (Gagal),0
TRX-20088,2022-10-23,Sulawesi,Pertambangan,Genset (Generator Set),2,280897878,561795756,Won (Berhasil),561795756
TRX-21480,2022-08-04,Kalimantan,Perkebunan,Excavator,2,1943760802,3887521604,Won (Berhasil),3887521604
TRX-20829,2022-05-23,Sulawesi,Logistik & Gudang,Tractor Agrikultur,2,1278697531,2557395062,Won (Berhasil),2557395062
TRX-20270,2021-10-01,Sumatera,Pertambangan,Tractor Agrikultur,5,1111064359,5555321795,Lost (Gagal),0
TRX-22922,2021-04-13,Papua,Konstruksi,Genset (Generator Set),5,147041716,735208580,Won (Berhasil),735208580
TRX-21047,2023-01-18,Papua,Pertambangan,Tractor Agrikultur,3,1440932710,4322798130,Won (Berhasil),4322798130
TRX-20810,2022-05-14,Papua,Logistik & Gudang,Tractor Agrikultur,5,1215847920,6079239600,Won (Berhasil),6079239600
TRX-20650,2022-08-10,Sulawesi,Perkebunan,Tractor Agrikultur,5,1373176070,6865880350,Won (Berhasil),6865880350
TRX-21114,2022-10-27,Jawa,Pertambangan,Excavator,2,1911856951,3823713902,Won (Berhasil),3823713902
TRX-22635,2023-03-30,Sumatera,Perkebunan,Forklift,3,591381824,1774145472,Lost (Gagal),0
TRX-21237,2021-09-11,Jawa,Konstruksi,Genset (Generator Set),4,166509156,666036624,Won (Berhasil),666036624
